all,allCount,fifties,fiftiesCount,sixties,sixtiesCount,seventies,seventiesCount,eighties,eightiesCount,nineties,ninetiesCount,twothousands,twothousandsCount,twentytens,twentytensScore
You,115,Blue,1,My,11,You,25,Love,22,Love,13,Be,8,You,19
Love,78,Suede,1,You,6,Love,17,Me,16,Me,12,Life,7,Love,15
Me,76,Shoes,1,Little,6,Me,15,Don't,8,Don't,10,Black,6,Het,8
My,57,Jailhouse,1,Love,5,Your,10,Your,7,My,10,Love,6,Like,7
Don't,32,Rock,1,Woman,5,My,10,Way,7,Heart,6,Like,6,All,7
Your,32,My,1,Me,4,Long,8,All,6,Go,5,Day,5,Just,6
All,29,Baby,1,All,4,Don't,8,Be,6,Do,5,Out,5,Down,6
Be,24,Just,1,Life,4,Way,7,Want,6,No,5,Know,5,Up,6
Man,23,Cares,1,Man,4,Man,6,Heart,5,World,5,All,5,Light,6
One,22,For,1,Can't,3,Woman,6,Again,5,Will,5,Can't,5,Time,6
